x,y,z,r,g,b,class,instance_id
8.070400,-1.620500,50.521000,255,247,240,floor,0
8.005100,-1.617800,50.483002,255,251,245,floor,0
7.974300,-1.650600,50.459400,254,255,255,floor,0
7.971700,-1.664000,50.459999,254,255,255,floor,0
7.972900,-1.677700,50.459499,254,255,255,floor,0
7.966400,-1.704400,50.459900,254,255,255,floor,0
9.150000,-1.826100,51.238300,238,186,163,floor,0
7.964800,-1.761000,50.459301,254,255,255,floor,0
7.964400,-1.780000,50.459999,254,255,255,floor,0
7.963800,-1.792900,50.459702,253,255,255,floor,0
7.964600,-1.815700,50.484699,255,248,242,floor,0
7.995400,-1.837300,50.500999,255,246,239,floor,0
7.961600,-1.862000,50.460201,254,255,255,floor,0
7.960500,-1.883100,50.460300,253,255,255,floor,0
7.959400,-1.889600,50.459702,254,255,255,floor,0
7.958900,-1.915900,50.459599,254,255,255,floor,0
7.958500,-1.951600,50.460300,254,255,255,floor,0
7.959100,-1.958900,50.459999,254,255,255,floor,0
7.956900,-1.987500,50.459702,254,255,255,floor,0
8.142400,-1.309200,50.523602,255,255,255,floor,0
8.069100,-1.309800,50.478298,255,255,255,floor,0
8.076500,-1.342100,50.465900,237,255,255,floor,0
8.076400,-1.362300,50.467899,233,249,253,floor,0
8.074900,-1.373600,50.467602,222,238,241,floor,0
8.069500,-1.402600,50.467400,255,255,255,floor,0
8.067100,-1.420600,50.467800,255,255,255,floor,0
8.061800,-1.437600,50.467602,255,255,255,floor,0
8.060300,-1.457100,50.467499,255,255,255,floor,0
8.055300,-1.483600,50.466999,255,255,255,floor,0
8.049100,-1.516500,50.466499,255,255,255,floor,0
8.046100,-1.531100,50.466000,255,255,255,floor,0
8.045000,-1.540800,50.466000,255,255,255,floor,0
8.037400,-1.564300,50.464600,255,255,255,floor,0
8.106800,-1.606100,50.531300,255,245,238,floor,0
8.037200,-1.607000,50.494701,255,250,243,floor,0
8.056200,-1.626700,50.497898,255,246,240,floor,0
8.025700,-1.648300,50.461700,255,255,255,floor,0
8.017400,-1.678200,50.458698,254,255,255,floor,0
8.016200,-1.694500,50.458698,254,255,255,floor,0
8.006600,-1.718000,50.454899,243,252,252,floor,0
8.006200,-1.740700,50.454800,236,244,245,floor,0
8.002500,-1.747000,50.453899,226,231,234,floor,0
8.002700,-1.768600,50.454201,234,240,241,floor,0
8.000100,-1.803400,50.455502,254,255,255,floor,0
8.057600,-1.828100,50.492100,255,246,240,floor,0
8.058200,-1.838600,50.517502,255,244,237,floor,0
7.999900,-1.853400,50.455002,253,255,255,floor,0
7.998600,-1.889500,50.455700,254,255,255,floor,0
7.998400,-1.908700,50.455700,253,255,255,floor,0
7.998400,-1.932000,50.455898,254,255,255,floor,0
7.996500,-1.951100,50.456200,254,255,255,floor,0
7.998300,-1.960800,50.456001,254,255,255,floor,0
7.995700,-1.979600,50.456001,254,255,255,floor,0
8.224800,-1.302800,50.540401,247,241,231,floor,0
8.148900,-1.304900,50.503201,111,129,158,floor,0
8.136000,-1.337900,50.474400,255,255,255,floor,0
8.142000,-1.356400,50.480000,255,255,255,floor,0
8.141300,-1.367700,50.480202,255,255,255,floor,0
8.134900,-1.401500,50.480000,255,255,255,floor,0
8.130900,-1.409700,50.480301,255,255,255,floor,0
8.127500,-1.443700,50.480000,255,255,255,floor,0
8.124300,-1.459600,50.479599,255,255,255,floor,0
8.121800,-1.476600,50.479801,255,255,255,floor,0
8.117300,-1.490200,50.479198,255,255,255,floor,0
8.114400,-1.506800,50.478600,255,255,255,floor,0
8.108800,-1.538000,50.477402,255,255,255,floor,0
8.101000,-1.555700,50.475800,254,255,255,floor,0
8.098600,-1.575900,50.475601,254,255,255,floor,0
8.097000,-1.604100,50.475399,253,255,255,floor,0
8.143300,-1.622000,50.507198,253,243,236,floor,0
8.086200,-1.629500,50.471298,232,236,236,floor,0
8.076700,-1.654600,50.467701,213,214,215,floor,0
8.075900,-1.671700,50.467899,246,247,247,floor,0
8.074600,-1.704100,50.467899,255,255,255,floor,0
8.073200,-1.715100,50.467701,255,255,255,floor,0
8.072000,-1.731800,50.467701,254,255,255,floor,0
8.069800,-1.757300,50.468201,254,255,255,floor,0
8.069200,-1.784300,50.468700,254,255,255,floor,0
8.067900,-1.801600,50.468601,254,255,255,floor,0
8.068700,-1.828700,50.492699,255,243,237,floor,0
8.091700,-1.837000,50.494202,255,245,239,floor,0
8.065500,-1.854700,50.468700,254,255,255,floor,0
8.063500,-1.878600,50.468800,254,255,255,floor,0
8.064300,-1.901000,50.468800,254,255,255,floor,0
8.064100,-1.931900,50.468899,254,255,255,floor,0
8.064100,-1.945800,50.468899,254,255,255,floor,0
8.063600,-1.954700,50.468700,254,255,255,floor,0
8.061900,-1.993400,50.468498,254,255,255,floor,0
8.244700,-1.307600,50.538300,255,235,220,floor,0
8.154400,-1.309400,50.477299,167,189,201,floor,0
8.189000,-1.341200,50.488499,255,255,255,floor,0
8.204800,-1.369200,50.492802,255,255,255,floor,0
8.201500,-1.389300,50.492699,255,255,255,floor,0
8.198900,-1.401000,50.492500,255,255,255,floor,0
8.194600,-1.421900,50.492199,255,255,255,floor,0
8.188700,-1.441400,50.491299,255,255,255,floor,0
8.184500,-1.464100,50.490601,255,255,255,floor,0
8.180200,-1.484300,50.489799,245,255,255,floor,0
8.175700,-1.496400,50.488998,240,255,254,floor,0
8.169900,-1.523900,50.487900,227,241,240,floor,0
8.157600,-1.535200,50.480801,215,229,227,floor,0
8.152600,-1.556600,50.479599,251,255,255,floor,0
8.149500,-1.585500,50.479401,255,255,255,floor,0
8.147600,-1.601000,50.479900,255,255,255,floor,0
8.145500,-1.625000,50.502899,250,241,235,floor,0
8.142000,-1.633700,50.490799,253,244,238,floor,0
8.141500,-1.655200,50.480099,255,255,255,floor,0
8.137800,-1.690900,50.480099,255,255,255,floor,0
8.137800,-1.696800,50.480202,254,255,255,floor,0
8.135000,-1.716900,50.480099,254,255,255,floor,0
8.134200,-1.739200,50.479698,255,255,255,floor,0
8.132900,-1.766300,50.480202,255,255,255,floor,0
8.131800,-1.776800,50.480099,255,255,255,floor,0
8.129800,-1.799700,50.480000,255,255,255,floor,0
8.128100,-1.830000,50.479698,255,255,255,floor,0
8.126400,-1.847700,50.479198,255,255,255,floor,0
8.126400,-1.855400,50.479301,255,255,255,floor,0
8.122300,-1.884000,50.479599,255,255,255,floor,0
8.124800,-1.906500,50.479698,255,255,255,floor,0
8.124000,-1.917400,50.479801,255,255,255,floor,0
8.123800,-1.946300,50.479301,255,255,255,floor,0
8.122500,-1.965300,50.479099,254,255,255,floor,0
8.122200,-1.987900,50.479000,255,255,255,floor,0
8.247500,-1.307300,50.509201,255,237,224,floor,0
8.157000,-1.307900,50.450802,253,248,240,floor,0
8.056800,-1.306300,50.379700,251,239,230,floor,0
8.234000,-1.383700,50.489201,255,242,229,floor,0
8.246400,-1.386600,50.496799,255,242,229,floor,0
8.237900,-1.412900,50.491402,233,243,242,floor,0
8.231700,-1.429500,50.489300,251,255,255,floor,0
8.227900,-1.456900,50.490398,255,255,255,floor,0
8.225900,-1.464100,50.490501,255,255,255,floor,0
8.223700,-1.488200,50.490601,255,255,255,floor,0
8.220600,-1.507900,50.491100,255,255,255,floor,0
8.215900,-1.537700,50.491001,255,255,255,floor,0
8.214400,-1.559400,50.491699,255,255,255,floor,0
8.212600,-1.568500,50.491600,255,255,255,floor,0
8.210200,-1.590400,50.491402,255,255,255,floor,0
8.208700,-1.600800,50.491501,255,255,255,floor,0
8.204300,-1.638600,50.491199,255,255,255,floor,0
8.202700,-1.643200,50.491100,255,255,255,floor,0
8.199800,-1.661500,50.491299,254,255,255,floor,0
8.197200,-1.697200,50.491299,255,255,255,floor,0
8.195600,-1.714900,50.490799,255,255,255,floor,0
8.196200,-1.721500,50.491299,254,255,255,floor,0
8.193600,-1.747900,50.491199,254,255,255,floor,0
8.190900,-1.769600,50.490398,255,255,255,floor,0
8.189300,-1.779500,50.489899,255,255,255,floor,0
8.188800,-1.797700,50.490200,254,255,255,floor,0
8.185500,-1.832600,50.489700,255,255,255,floor,0
8.184200,-1.855600,50.490002,255,255,255,floor,0
8.184500,-1.858400,50.489601,255,255,255,floor,0
8.182400,-1.894100,50.488998,250,255,254,floor,0
8.181300,-1.910000,50.488800,245,253,251,floor,0
